127.0.0.1 - - [15/Mar/2024:18:32:28 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [15/Mar/2024:18:32:35 +0530] "GET /Trishul210218/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:18:32:35 +0530] "GET /Trishul210218/login.jsp HTTP/1.1" 200 3263
0:0:0:0:0:0:0:1 - - [15/Mar/2024:18:32:35 +0530] "GET /m.servedby-buysellads.com/monetization.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [15/Mar/2024:18:32:35 +0530] "GET /ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [15/Mar/2024:18:32:35 +0530] "GET /vdo.ai/core/w3layouts/vdo.ai.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [15/Mar/2024:18:32:35 +0530] "GET /_.google.com/analytics.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Mar/2024:18:32:35 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [15/Mar/2024:18:33:08 +0530] "POST /Trishul210218/loginAction HTTP/1.1" 200 91504
0:0:0:0:0:0:0:1 - - [15/Mar/2024:18:33:09 +0530] "GET /Trishul210218/css/themes/type-c/theme-mint.min.css HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [15/Mar/2024:18:33:57 +0530] "GET /Trishul210218/city_master_Reports HTTP/1.1" 200 187292
0:0:0:0:0:0:0:1 - - [15/Mar/2024:18:33:58 +0530] "GET /Trishul210218/css/themes/type-c/theme-mint.min.css HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [15/Mar/2024:18:34:12 +0530] "GET /Trishul210218/CopyCustomerMasterAction HTTP/1.1" 200 50076
0:0:0:0:0:0:0:1 - - [15/Mar/2024:18:34:12 +0530] "GET /Trishul210218/css/themes/type-c/theme-mint.min.css HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [15/Mar/2024:18:34:19 +0530] "GET /Trishul210218/CopyCustomerMasterAction?rental_type=a&description=a HTTP/1.1" 200 50076
0:0:0:0:0:0:0:1 - - [15/Mar/2024:18:34:19 +0530] "GET /Trishul210218/css/themes/type-c/theme-mint.min.css HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [15/Mar/2024:18:34:46 +0530] "GET /Trishul210218/newRentalTypeMaster HTTP/1.1" 200 50055
